TYPE,Recipient Organization,Accession Number,Award Number,Project Title,Sponsoring Agency,Funding Mechanism,Project Director Full Name,Project Status,Keywords
PROJECT,SAES - CORNELL UNIVERSITY,0223750,2010-38502-21900,Sun Grant Program - Northeast Region,National Institute of Food and Agriculture,NIFA Non Formula,"Walker, Larry",COMPLETE,"biochemical conversion, bioenergy, bioproducts, energy security, feedstock conversion, feedstock logistics, regional competitive grants, rural economic development, sustainability"
PROJECT,WESTERN REGIONAL RES CENTER,0401945,,CONVERSION OF CROPS TO PRODUCTS WITH HIGHER ADDED VALUE THROUGH DIRECTED MOLECULAR EVOLUTION,Agricultural Research Service/USDA,Other USDA Funding,WONG  D,COMPLETE,"fuel, value added, evolution, engineering, new products, corn, winter wheat, wheat, enzymes, separation, fermentation, ethanol, alcohols, starches, molecular biology, gluten, energy levels, catalysts, cost reduction, energy costs, byproducts, product quality"
PROJECT,FRST - UNIVERSITY OF WASHINGTON-FORESTRY SCHOOL,0221141,,Nitrogen Fixation in Poplar: Increased Efficiency of Bioenergy Crop Production,State Agricultural Experiment Station,State Funding,"Doty, S",COMPLETE,"bioenergy, diazotrophic, endophytes, environmental pollutants, ethanol, nitrogen, nitrogenase, phosphate, plant hormones, poplar, pulp production, willow"
PROJECT,SAES - UNIVERSITY OF CALIFORNIA,0137255,,Production of High Value Added Products by Utilizing Biotechnology Tools and Renewable Agricultural Resources,National Institute of Food and Agriculture,NIFA Formula,"Ryu, D. Y.",COMPLETE,"value added, biotechnology, renewable resources, product development, bioengineering, molecular biology, metabolic pathways, plant genetics, transformation, processing, training, knowledge, market competition, food additives, pharmaceuticals, health foods, energy, supplies, genetic recombination, separation, fermentation, cell culture"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0189369,2001-34158-11222,Advanced Technology Applications To Eastern Hardwood Utilization,National Institute of Food and Agriculture,NIFA Non Formula,"Kamdem, D. P.",COMPLETE,"copper, recycling, weathering, hardwoods, preservatives, cements, wood fibers, thermoplastics, ultraviolet radiation, heartwood, wood engineering, plant metabolism, extractives, wood decay, wood destroying fungi, wood products, wood chemistry, molecular biology, plant biochemistry, biotechnology, plant improvement, detection, antioxidants, composite wood, plant evaluation, regional research, product evaluation, performance testing, adhesion, comparative analysis, mechanical properties, polymerase chain reaction, dna fingerprinting"
PROJECT,SAES - CORNELL UNIVERSITY,0184953,,The Nanobiotechnology Center - Selective Molecular Filtration,State Agricultural Experiment Station,State Funding,"Craighead, H.",COMPLETE,"biotechnology, cell biology, fabrication, molecules, filtration, instrumentation, molecular biology, engineering, research equipment, sorting, process development, innovations, microanalysis, dna, dna sequences, automation, electrophoresis, cost reduction, macromolecules, size"
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0165263,,SOUTHEAST DAIRY FOODS RESEARCH CENTER,State Agricultural Experiment Station,State Funding,"Klaenhammer, T",COMPLETE,"application laboratories, cheese, dairy, fermentation, ingredients, microbiology, milk, probiotics, processing, protein functionality, rheology, sensory, texture, whey proteins, yogurt"
PROJECT,SAES - CORNELL UNIVERSITY,0191129,,RNA-Nanospheres for Controlled Gene Delivery Systems,National Institute of Food and Agriculture,NIFA Formula,"Luo, D.",COMPLETE,"gene therapy, controlled release, microspheres, dna, rna, transfection, delivery systems, biodegradation, production systems, drugs, genetic engineering, animal physiology, cell biology, molecular biology, agricultural engineering, gene structure, gene function, production efficiency, process development, optimization, cytosol, endoplasmic reticulum, new technology, microscopy, product evaluation"
PROJECT,SAES - UNIVERSITY OF ARKANSAS,0191737,,Realizing Biotransformation Potential of Extremophiles,National Institute of Food and Agriculture,NIFA Formula,"Kim, J",COMPLETE,"archea;, bioprocessing, extremophiles, bioconversion"
PROJECT,SAES - IOWA STATE UNIVERSITY,0197975,2003-34515-14027,Plant Biotechnology-Iowa: Technologies to Recover Recombinant Proteins from Plants for Use as Therapeutics and Industrial Enzymes,National Institute of Food and Agriculture,NIFA Non Formula,"Johnson, L. A.",COMPLETE,"corn, maize, recombinant proteins, therapeutics, enzymes, extraction, protein purification, biotechnology, new products, process development, agricultural engineering, new technology, processing, transgenic plants, dry milling, time, temperature, lactic acid, kinetics, wet milling, flaking, grinding"
PROJECT,IOWA STATE UNIVERSITY OF SCIENCE AND TECHNOLOG,0200575,2005-35504-15222,Development of a Novel Fermentation Process for the Anaerobic Conversion of Glycerol and Co2 into Succinic Acid Using E. Coli,National Institute of Food and Agriculture,NIFA Non Formula,"Gonzalez, Ramon",COMPLETE,"anaerobic fermentation, bacterial genetics, bacterial physiology, bioconversion, bioengineering, byproducts, carbon dioxide, dna, escherichia coli, gene products, genetic engineering, glycerol, microbial cultures, molecular biology, process development, strains, succinates, value added, waste utilization, fermentation"
PROJECT,SAES - PURDUE UNIVERSITY,0202759,,Development of biosensors for food safety applications based on microfluidics and nanomaterials,National Institute of Food and Agriculture,NIFA Formula,"Lu, C",COMPLETE,"bacteria detection, biosensor, electroporation, immunoassay, listeria monocytogenes, microfluidics, nanoporous silicon"
PROJECT,1890 - WEST VIRGINIA STATE UNIVERSITY,0218578,2009-38850-19795,INTEGRATION OF AGRICULTURAL WASTE UTILIZATION AND BIOENERGY PRODUCTION USING ANAEROBIC DIGESTION,National Institute of Food and Agriculture,NIFA Non Formula,"Huber, D. H.",COMPLETE,"anaerobic digestion, poultry litter, animal waste, bioenergy, bacteria, metagenomics, microbial ecology, methane, agricultural waste utilization, sustainability, methanogen"
PROJECT,GRASSROOTS BIOTECHNOLOGY,0217784,2009-33610-19670,Improving Root Architecture in Energy Crops,National Institute of Food and Agriculture,NIFA Non Formula,"Elich, T.",COMPLETE,"biofuels, energy crops, root architecture, switchgrass, brachypodium, carbon sequestration"
PROJECT,PURDUE UNIVERSITY,0219122,2009-34634-19916,Water Quality: Development of Genome Scan and Optical Scattering Imaging Technologies for Microbial Source Tracking,National Institute of Food and Agriculture,NIFA Non Formula,"Tseng, Charles",COMPLETE,"E. coli, bacterial contamination, bacterial identification, bacterial imaging, e. coli, environmental problem, genome scan, genomic scan tech., microbial contamination in water, microbial source tracking, mst, optical scattering, water quality"
PROJECT,WAYNE STATE UNIVERSITY,0221540,2010-38889-20726,"Center for Renewable Transportation Fuel,MI",National Institute of Food and Agriculture,NIFA Non Formula,"Ng, Ka-Yuen",COMPLETE,"Geonomics, Photobioreactor, algae, algae biofuel, and Catalysts, biodiesel, genetic modification, non food biomass feedstock, photobioreactor, renewable fuel, renewable fuels"
PROJECT,SAES - VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0221646,,Developing A Cellulase- And Biofuel-Producing Bacterium For A Consolidated Bioprocess,National Institute of Food and Agriculture,NIFA Formula,"Senger, R",COMPLETE,"biobutanol, biofuels, c. acetobutylicum, c. cellulolyticum, cellulolytic, cellulose, cellulosome, clostridia, ethanol, hemicellulose, sporulation"
PROJECT,UNIV OF ARKANSAS,0409540,,IMPROVED EFFICIENT FOODFISH AND BAITFISH AQUACULTURE,Agricultural Research Service/USDA,Other USDA Funding,GREEN B W,COMPLETE,CONSUMER CULTURE PRODUCT AQUACULTURE PRODUCTIONS METHODS QUALITY
PROJECT,"Agricultural Research Service, Southern Regional Research Ctr",0408876,,ENZYMATIC PROCESSES FOR INCREASING INDUSTRIAL UTILIZATION OF VEGETABLE OILS,Agricultural Research Service/USDA,Other USDA Funding,SHOCKEY J M,COMPLETE,TUNG YEAST OIL DESATURASE ACYLTRANSFERASE BIOCONVERSION BIOBASED PRODUCTS ELEOSTEARIC CONJUGATED LIPID ENZYMES
PROJECT,EASTERN REGIONAL RES CENTER,0408523,,PROTEIN PROCESSING USING HIGH-PRESSURE GASES AND SUPERCRITICAL FLUIDS,Agricultural Research Service/USDA,Other USDA Funding,TOMASULA P M,COMPLETE,DAIRY RECOVERY FRACTIONATION PRESSURE SUPERCRITICAL WHEY NONFOOD SEPARATION PROTEIN HIGH GAS PRECIPITATION PLASTICS
PROJECT,NORTHERN REGIONAL RES CENTER,0418680,,PROCESS TECHNOLOGIES FOR PRODUCING BIOFUELS AND COPRODUCTS FROM LIGNOCELLULOSIC FEEDSTOCKS,Agricultural Research Service/USDA,Other USDA Funding,SAHA B C,ACTIVE,FERMENTATION ETHANOL ENERGY BIOFUELS BUTANOL BIOPROCESSING INHIBITORS BIOMASS MICROORGANISMS YEAST LIGNOCELLULOSE BIOPRODUCTS XYLITOL
PROJECT,"Agricultural Research Service, Southern Regional Research Ctr",0418200,,ENZYMATIC PROCESSES FOR INCREASING INDUSTRIAL UTILIZATION OF VEGETABLE OILS,Agricultural Research Service/USDA,Other USDA Funding,SHOCKEY J M,COMPLETE,TUNG OIL ACYLTRANSFERASE BIOBASED PRODUCTS CONJUGATED ENZYMES YEAST DESATURASE BIOCONVERSION ELEOSTEARIC LIPID
PROJECT,SAES - UNIVERSITY OF ARIZONA,1003916,2014-70003-22358,Nanotechnology 2020,National Institute of Food and Agriculture,NIFA Non Formula,"Burd, Randy",ACTIVE,"Agricultural Engineering, Agriculture, Diversity, Human Sciences, Nanotechnology, agricultural engineering, agriculture, diversity, human sciences, nanotechnology"
PROJECT,SAES - PURDUE UNIVERSITY,0063971,,ENVIRONMENTAL STRESSES AND CROP PRODUCTIVITY,National Institute of Food and Agriculture,NIFA Formula,"Mitchell, C",ACTIVE,"bottom heating, controlled environment, crop cuvette, gas exchange, high tunnel, intracanopy lighting, led, locally grown, off-season production, optimization, photosynthesis, power plant, specialty crops, supplemental lighting, waste energy"
PROJECT,SAES - CORNELL UNIVERSITY,0183406,,Toxic Metal Accumulation in Plants: From Cellular Transport Mechanisms to Whole Plant Uptake,National Institute of Food and Agriculture,NIFA Formula,"Walker, L. P.",COMPLETE,"bioremediation, rice, phytochelatins, metals, cadmium, nutrient transport, pollution control, genetic engineering, nutrient uptake (plants), biochemical mechanisms, toxic substances, plant genetics, plant physiology, nutrient accumulation, kinetics, roots, seedlings, sequestrants, cell membrane, membrane transport, nutrient movement"
PROJECT,1890 - PRAIRIE VIEW A&M UNIVERSITY,0200947,2004-38814-15074,Development of Center for Biodegradable Polymer Systems,National Institute of Food and Agriculture,NIFA Non Formula,"Carson, L.",COMPLETE,"biodegradation, polymers, synthetics, shellfish, cell biology, engineering, molecular biology, chemistry, cooperative research, research programs, food, soils, environment, health, education programs, program planning, training, degradation, food packaging, mechanism of action, gene expression, agriculture, students"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0191574,,"Field-Operable Nano-Biosensors for Global Health, Biodefense, Food Safety, and Water Quality",National Institute of Food and Agriculture,NIFA Formula,"Alocilja, E",ACTIVE,"bacillus anthracis, bio-conjugates, biodefense, biosensors, e. coli, food safety, global health, nano-structures, nanotechnology, salmonella, tuberculosis, water quality"
PROJECT,SAES - MICHIGAN STATE UNIVERSITY,0191694,2002-34158-11914,Advanced Technology Applications to Eastern Hardwood Utilization,National Institute of Food and Agriculture,NIFA Non Formula,"Kamdem, D. P.",COMPLETE,"wood preservatives, recycling, wood fibers, thermoplastics, weathering, wood decay, sawdust, composite wood, extrusion, foaming, hardwoods, wood pulp, supply and demand, spatial analysis, wood formation, polyphenols, sawmills, wood destroying fungi, microsatellites, oxidation reduction, catalysis, quinones, wood utilization, wood chemistry, waste conversion, value added, economic analysis, biotechnology, genetic markers, fungus genetics"
PROJECT,SAES - UNIVERSITY OF GEORGIA,0188158,,"Genetic Improvement of Beans (Phaseolus Vulgaris L.) For Yield, Disease Resistance and Food Value",National Institute of Food and Agriculture,NIFA Formula,"Hoogenboom, G.",COMPLETE,"plant development, crop yields, weather, soil management, systems analysis, plant biology, beans, phaseolus vulgaris, plant disease resistance, plant improvement, plant genetics, plant physiology, yield potential, computer programs, gene environment interaction, crop growth, growth models, simulation models, optimization, management systems, variability, sustainable agriculture"
PROJECT,SAES - WASHINGTON STATE UNIVERSITY,0216778,,FY09 Emerging Research Issues,State Agricultural Experiment Station,State Funding,"Kahn, M. L.",COMPLETE,"emerging research issues, washington state agriculture, washington state environment"
PROJECT,SAES - VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,0218919,2009-34602-20015,Biodesign and Bioprocessing Research Center,National Institute of Food and Agriculture,NIFA Non Formula,"Mostaghimi, Saied",COMPLETE,"biodesign, biofuels, bioprocessing, value added products, value-added products"
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0199852,2004-34368-14669,"Finfish Aquaculture:  Improved Cultivars, Farming Practices, and Production Systems",National Institute of Food and Agriculture,NIFA Non Formula,"Sullivan, C. V.",COMPLETE,"striped bass, tilapia, compensatory growth, hormones, aquaculture, perch, animal breeding, fish, selection, filtration, cultivars, cultural practices, production systems, animal genetics, nutrient utilization, fish nutrition, animal physiology, hybrids, dna, foundation stock, genetic markers, spawning, waste management, microsatellites, growth factors"
PROJECT,SAES - NORTH CAROLINA STATE UNIVERSITY,0214063,2008-34368-19113,Improved Technology for Enhancing Production Efficiency and Environmental Sustainability of Warmwater Fish Culture,National Institute of Food and Agriculture,NIFA Non Formula,"Daniels, Harry",COMPLETE,"aquaculture waste management, compensatory growth, effluent quality, effluent quality, egg quality, egg quality, growth regulation"
PROJECT,SAES - UNIVERSITY OF WISCONSIN,0212788,,Energy Research,State Agricultural Experiment Station,State Funding,"Noguera, D",COMPLETE,"gene networks, hydrogen, microarrays, modeling, mutations;, photosynthesis, reactors, rhodobacter, solar energy, bioenergy"
PROJECT,NORTHERN REGIONAL RES CENTER,0403945,,BIOPROCESS AND METABOLIC ENGINEERING TECHNOLOGIES FOR BIOFUELS AND VALUE-ADDED COPRODUCTS,Agricultural Research Service/USDA,Other USDA Funding,DIEN  B S,COMPLETE,"value added, fermentation, conversion, biomass, crop residues, plant fibers, corn, xylans, cellulose, genetic engineering, biotechnology, enzyme production, fuel, ethanol, butane diol, lactic acid, enzymes, microorganisms, energy, optimization, systems development, new technology"
PROJECT,COOPER TIRE & RUBBER COMPANY INC,0228449,2012-10006-19391,Securing the Future of Natural Rubber - An American tire and bioenergy platform from Guayule,National Institute of Food and Agriculture,NIFA Non Formula,"Colvin, Howard",ACTIVE,"Guayule rubber cogeneration fermentation tire LCA, american southwest, bagasse, biomass, biorefinary, cogeneration, compounding, direct seeding, domestic natural rubber, extraction, fuel, genome, guayule, irrigation, life cycle analysis, sequencing, sustainability, tire"
